城市名,三字码,别名,省份
北京,BJS,,北京市
上海,SHA,,上海市
天津,TSN,,天津市
重庆,CKG,,重庆市
广州,CAN,,广东
深圳,SZX,,广东
珠海,ZUH,,广东
揭阳,SWA,潮汕;汕头,广东
湛江,ZHA,,广东
梅州,MXZ,,广东
佛山,FUO,,广东
石家庄,SJW,,河北
邯郸,HDG,,河北
秦皇岛,BPE,北戴河,河北
承德,CDE,,河北
张家口,ZQZ,,河北
太原,TYN,,山西
大同,DAT,,山西
运城,YCU,,山西
临汾,LFQ,,山西
长治,CIH,,山西
呼和浩特,HET,,内蒙古
包头,BAV,,内蒙古
赤峰,CIF,,内蒙古
通辽,TGO,,内蒙古
鄂尔多斯,DSN,,内蒙古
呼伦贝尔,HLD,海拉尔,内蒙古
锡林浩特,XIL,锡林郭勒,内蒙古
乌兰浩特,HLH,兴安盟,内蒙古
满洲里,NZH,,内蒙古
沈阳,SHE,,辽宁
大连,DLC,,辽宁
锦州,JNZ,,辽宁
长春,CGQ,,吉林
延吉,YNJ,延边,吉林
长白山,NBS,,吉林
哈尔滨,HRB,,黑龙江
齐齐哈尔,NDG,,黑龙江
牡丹江,MDG,,黑龙江
佳木斯,JMU,,黑龙江
大庆,DQA,,黑龙江
黑河,HEK,,黑龙江
漠河,OHE,,黑龙江
南京,NKG,,江苏
无锡,WUX,苏南;硕放,江苏
常州,CZX,,江苏
南通,NTG,,江苏
徐州,XUZ,,江苏
连云港,LYG,,江苏
扬州,YTY,泰州,江苏
盐城,YNZ,,江苏
淮安,HIA,,江苏
杭州,HGH,,浙江
宁波,NGB,,浙江
温州,WNZ,,浙江
义乌,YIW,,浙江
台州,HYN,,浙江
衢州,JUZ,,浙江
舟山,HSN,普陀山,浙江
合肥,HFE,,安徽
黄山,TXN,屯溪,安徽
阜阳,FUG,,安徽
安庆,AQG,,安徽
池州,JUH,九华山,安徽
亳州,BZO,,安徽
福州,FOC,,福建
厦门,XMN,,福建
泉州,JJN,晋江,福建
武夷山,WUS,,福建
龙岩,LCX,,福建
南昌,KHN,,江西
景德镇,JDZ,,江西
赣州,KOW,,江西
井冈山,JGS,,江西
上饶,SQD,三清山,江西
九江,JIU,庐山,江西
宜春,YIC,明月山,江西
济南,TNA,,山东
青岛,TAO,,山东
烟台,YNT,,山东
威海,WEH,,山东
济宁,JNG,曲阜,山东
临沂,LYI,,山东
日照,RIZ,,山东
东营,DOY,,山东
潍坊,WEF,,山东
郑州,CGO,,河南
洛阳,LYA,,河南
南阳,NNY,,河南
武汉,WUH,,湖北
宜昌,YIH,,湖北
十堰,WDS,武当山,湖北
恩施,ENH,,湖北
襄阳,XFN,,湖北
长沙,CSX,,湖南
张家界,DYG,,湖南
常德,CGD,,湖南
怀化,HJJ,,湖南
南宁,NNG,,广西
桂林,KWL,,广西
北海,BHY,,广西
柳州,LZH,,广西
海口,HAK,,海南
三亚,SYX,,海南
成都,CTU,双流;天府,四川
绵阳,MIG,,四川
南充,NAO,,四川
宜宾,YBP,,四川
泸州,LZO,,四川
达州,DAX,,四川
西昌,XIC,,四川
稻城,DCY,亚丁;稻城亚丁,四川
九寨沟,JZH,,四川
康定,KGT,,四川
贵阳,KWE,,贵州
遵义,ZYI,,贵州
兴义,ACX,,贵州
铜仁,TEN,梵净山,贵州
昆明,KMG,,云南
丽江,LJG,,云南
大理,DLU,,云南
西双版纳,JHG,景洪,云南
香格里拉,DIG,迪庆,云南
腾冲,TCZ,,云南
芒市,LUM,德宏,云南
昭通,ZAT,,云南
保山,BSD,,云南
普洱,SYM,思茅,云南
临沧,LNJ,,云南
文山,WNH,普者黑,云南
拉萨,LXA,,西藏
林芝,LZY,,西藏
日喀则,RKZ,,西藏
西安,XIY,,陕西
延安,ENY,,陕西
榆林,UYN,,陕西
汉中,HZG,,陕西
兰州,LHW,,甘肃
敦煌,DNH,,甘肃
嘉峪关,JGN,,甘肃
张掖,YZY,,甘肃
西宁,XNN,,青海
格尔木,GOQ,,青海
银川,INC,,宁夏
中卫,ZHY,沙坡头,宁夏
乌鲁木齐,URC,,新疆
喀什,KHG,,新疆
库尔勒,KRL,巴音郭楞,新疆
伊宁,YIN,伊犁,新疆
阿勒泰,AAT,,新疆
克拉玛依,KRY,,新疆
和田,HTN,,新疆
吐鲁番,TLQ,,新疆
哈密,HMI,,新疆
阿克苏,AKU,,新疆
博乐,BPL,博尔塔拉,新疆
那拉提,NLT,,新疆
香港,HKG,,香港
澳门,MFM,,澳门
