名称,级别,所在地区,详情链接,简介,大门票参考,景交费用参考,费用区间参考,开放时间,适宜季节,建议游玩时间,旅游景区级别,详细地址,官方网站,抓取状态,自然保护区等级,森林公园等级,国家风景名胜区,度假区级别,国家级水利风景区,地质公园级别,遗产项目编号,文物保护单位,官网,博物馆等级,地址,湿地级别,中文名,占地面积,主管部门,免票时间,企业官网,开盘时间,所在地址,外文名,成立时间,藏品数量
稻城亚丁风景区,5A,甘孜藏族自治州,https://www.maigoo.com/citiao/115870.html,稻城亚丁位于海拔2900米（贡嘎河口）-6032米（仙乃日峰）之间，面积5.6万公顷，主要由“仙乃日、央迈勇、夏诺多吉”三座神山和周围的河流、湖泊和高山草甸组成，是中国保存颇为完整的一处自然生态系统，被誉为“香格里拉之魂”和“最后的香格里拉”，被国际友人誉为“水蓝色星球上的最后一片净土”。景区内不仅有壮丽神圣的雪山，还有辽阔的草甸、五彩斑斓的森林和碧蓝通透的海子，雪域高原最美的一切几乎都汇聚于此。,旺季146元，淡季120元,观光大巴120元，电瓶车50-80元,300~400元,旺季06:30~17:30，淡季09:00~16:00,春季，秋季,2~4天,5A,四川省 甘孜藏族自治州 稻城县 香格里拉镇,点击查看,成功,国家级(1996年建区),,,,,,,,,,,,,,,,,,,,,
喀拉峻风景区,5A,伊犁哈萨克自治州,https://www.maigoo.com/citiao/3732.html,喀拉峻风景区位于新疆维吾尔自治区西北部，特克斯县的南部天山之中。喀拉峻作为“新疆天山”世界自然遗产的重要组成部分，是新疆天山生物多样性较丰富、美学价值较高的区域。景区内雪峰与峡谷辉映，森林与草原镶嵌，春夏季五花绽放，姹紫嫣红，晨曦落霞映照下线条柔美、层次分明，构成一幅幅艺术画卷。这种大自然的绝美赐予，使人直入无边旖旎梦境。,35-80元,区间车40-110元，游船往返80元，索道30元,300~400元,08:00~20:00,6月~9月,1天,5A,新疆 伊犁哈萨克自治州 特克斯县 276乡道南,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
德天跨国瀑布景区,5A,崇左市,https://www.maigoo.com/citiao/114836.html,德天跨国瀑布景区以归春界河为轴线，自然景观由德天瀑布、绿岛行云和大阳幽谷等组成，将瀑布、山体、河流、植被、乡村田园等景观相结合，融跨国瀑布山水景观、丰富多彩的边境民俗风情、悠久神奇的边关历史文化为一体，形成山青、水秀、瀑美、情浓的南国边疆喀斯特特色景观。德天瀑布为典型的岩溶瀑布，宽100米，垂直高度70多米，一波三折，形成三级瀑布，是亚洲第一、世界第四大跨国瀑布，年均水流量约为贵州黄果树瀑布的三倍。,80元,观光车35元,200~300元,全天,夏季,2~3小时,5A,广西 崇左市 大新县 硕龙镇,,成功,,,,,,,,,,,,,,,,,,,,,,
额济纳胡杨林景区,5A,阿拉善盟,https://www.maigoo.com/citiao/113493.html,额济纳胡杨林景区总面积26253平方公里，是集绝美风光、娱乐休闲为一体的综合风景区，是中国天然胡杨林的主要分布地之一，是世界三大胡杨林之一，既具有生物学上的重要意义，又是当地社区赖以生存的生态屏障。景区以保护天然胡杨林为主体的绿洲生态系统、物种基因库和戈壁绿洲景观为主要目标，9月底至10月上旬左右是额济纳胡杨林最佳观赏时间，大片胡杨由翠绿转成金黄，与湛蓝的天空共同筑就了一幅亮丽、神奇的秋色油画。,旺季200元，夜观胡杨80元，淡季40元,往返摆渡车40元,200~300元,08:00~17:00,9~10月,1~3天,5A,内蒙古 阿拉善盟 额济纳旗 达来呼布镇一道桥东100米,,成功,国家级(1992年建区),国家级,,,,,,,,,,,,,,,,,,,,
巴松措,5A,林芝市,https://www.maigoo.com/citiao/112594.html,巴松措又名措高湖，是红教的一处著名神湖和圣地。巴松措以其四周林木繁茂和群山耸立中的一池碧水而著名，湖面面积约27平方公里，最深处达120米，湖面海拔3480米。巴松措景区集雪山、湖泊、森林、文物古迹、名胜古刹为一体，景色殊异，四时不同，最佳游玩时间为春、秋季。春天，湖四周群花烂漫，雪峰阵列并倒影湖中，景色宜人至极；秋季万山红遍，层林尽染，天空碧蓝如洗，火红的枫叶折射灿烂的阳光倒影在碧蓝的湖面，景色美不胜收。,旺季120元，淡季60元,观光车往返45元，游船180元,200~300元,9:00~18:00,秋季,1~2天,5A,西藏 林芝市 工布江达县,,成功,,国家级（2001年）,,,,,,,,,,,,,,,,,,,,
恩施大峡谷,5A,恩施土家族苗族自治州,https://www.maigoo.com/citiao/3528.html,恩施大峡谷峡谷全长108公里，面积达300平方公里，是清江流域最美丽的一段，被誉为“世界地质奇观、东方科罗拉多”、“喀斯特地形地貌天然博物馆”，开放七星寨景区全线及云龙地缝部分景区。恩施大峡谷拥有清江升白云、绝壁环峰丛、天桥连洞群、暗河接飞瀑、天坑配地缝五大奇观，最大的景观特色是两岸典型而丰富的喀斯特地貌，峡谷中遍布绝壁悬崖、流水飞瀑、千仞孤峰、壮观地缝、原始森林、乡村梯田等，步步为景，自然风光如诗如画。,云龙地缝50元，七星寨旺季105元淡季80元,30-105元,300~400元,08:00~16:00,4~5月,1天,5A,湖北省 恩施土家族苗族自治州 恩施市 047乡道,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
世界魔鬼城景区,5A,克拉玛依市,https://www.maigoo.com/citiao/114376.html,魔鬼城又称乌尔禾风城，每当大风袭来，黄沙遮天，大风在风城里激荡回旋，凄厉呼啸，如同鬼哭，“魔鬼城”因此面得名。魔鬼城是典型的雅丹地貌，由于风雨剥蚀，地面形成深浅不一的沟壑，裸露的石层被狂风雕琢得奇形怪状，以层出不穷的地质奇观、独特的野生动植物资源、古朴的蒙古族风情而闻名。魔鬼城方圆约10平方公里内形成了形态各异的风蚀岩群，其形状千姿百态，形成了一个梦幻般的迷宫世界，被《中国国家地理》“选美中国”活动评选为“中国最美的三大雅丹”。,42元,区间车20元,100元以下,10:30~18:00,夏秋两季,1~2天,5A,新疆 克拉玛依市 乌尔禾区 龙脊路200号,,成功,,,,,,,,,,,,,,,,,,,,,,
荔波樟江风景名胜区,5A,黔南布依族苗族自治州,https://www.maigoo.com/citiao/3457.html,荔波樟江风景名胜区以丰富多样的喀斯特地貌、秀丽奇特的樟江水景和繁盛茂密的原始森林、各类珍稀品种动植物为特色，集奇特的山水自然风光与当地布依族、水族、瑶族等民族特色于一身。景区总面积118.8平方公里，由小七孔、大七孔、水春河和樟江风光带组成，拥有拉雅瀑布、68级跌水瀑布、石上森林、恐怖峡、天生桥、妖风洞、姊妹峰、姊妹滩、逍遥浪、龙王洞等众多景点。景区内的小七孔景区的喀斯特森林科学游览区随荔波喀斯特森林一起作为南方喀斯特的组成部分成功申报世界遗产。,旺季120元，淡季100元,小七孔观光车40元旅游船30元，大七孔观光船20元,200~300元,07:30~16:30,4~8月,1天,5A,贵州省 黔南布依族苗族自治州 荔波县 南部,,成功,,,1994年,,,,,,,,,,,,,,,,,,,
жЁ?е?—е??и§?е??,5A,金华市,https://www.maigoo.com/citiao/3777.html,жЁ?е?—е??и§?е??е§?е??д??1996е№?п??ж??й??е??и§?г??ж—…жёёг??е??е??г??д?‘й—?г??и§?е…?дё?дё?д?“з??е?§е??з??е??ж?§ж—…жёёе??п??ж??е??е?…ж??е?§з??е??и§?ж—…жёёдё?й??е…?е??з??п??ж??е?§е??з??е??и§?ж??ж‘?е??е?°п??д??е…?е??й??з??ж–?е?–е??и??е’?з??з?№з??е??е??е??ж??п??и??и??дё?в??дё?е??е??и??е??в??г??жЁ?е?—е??и§?е??д??1996е№?дё?ж??ж‘?г??йё?з??ж??д??г??и??е??и??е№?е·?и?—и?·ж??п??з?°е·?е??ж??з§?з??е??г??жё…ж??дё?ж??е??г??ж??жё…е??и?‘г??ж??е№?и°·г??ж??е?–ж??г??ж??ж??и°·г??е??ж??ж–°е??з??д??е??е??дё?и·Ёи??е??е??е№?е??е??ж—?з??з??е??и§?ж??ж‘?е??е?°п??ж??з?№п??г??,,,,,,,,,,成功,,,,,,,,,,,,,,,,,,,,,,
广州长隆,5A,广州市,https://www.maigoo.com/citiao/3419.html,广州长隆旅游度假区总占地面积1万亩，拥有长隆欢乐世界、长隆国际大马戏、长隆水上乐园、长隆野生动物世界、长隆飞鸟乐园和长隆酒店等多家主题公园及酒店，是集旅游景区、酒店餐饮、娱乐休闲于一体的综合性主题旅游度假区。广州长隆旅游度假区，曾多次获得国际奖项，如TEA的“全球最佳主题乐园鼓掌奖”三甲、“杰出成就奖”等等，被誉为“中国最受欢迎的一站式旅游度假胜地”。,99-250元,,1000元以上,,夏季,1~3天,5A,广东省 广州市 番禺区 汉溪大道东299号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
